osm_id,osm_type,latitude,longitude,name,operator,normalized_category,relevance_tier,facility_type,source_tile,raw_tags
4247387061,node,10.9495788,77.2654859,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387062,node,10.9509991,77.2651621,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387063,node,10.9511271,77.2635683,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387064,node,10.9511601,77.2758058,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387065,node,10.951606,77.2686567,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387066,node,10.9520107,77.2716804,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387067,node,10.952151,77.2617726,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387068,node,10.9521717,77.2734466,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387069,node,10.9523079,77.2637491,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387070,node,10.9528405,77.2685852,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387071,node,10.9533814,77.2662387,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387072,node,10.9534764,77.2707636,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387073,node,10.9549379,77.2700487,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387074,node,10.9552558,77.2721135,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387075,node,10.9553219,77.2682362,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387076,node,10.9554251,77.2662975,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387077,node,10.9583854,77.3071733,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387078,node,10.9600492,77.3085527,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387079,node,10.9606272,77.3043137,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387080,node,10.9618864,77.3090111,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387081,node,10.9634759,77.3035231,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448022,node,10.8215071,77.5169018,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448023,node,10.8225216,77.5119647,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448025,node,10.8249147,77.5078764,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448026,node,10.8274679,77.4998802,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448027,node,10.832162,77.5057412,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448028,node,10.8333316,77.4843424,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448032,node,10.8347101,77.5047234,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448034,node,10.8350596,77.4890176,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448038,node,10.8371759,77.4790248,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448039,node,10.8379137,77.5056723,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448042,node,10.840195,77.4860227,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
