latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,satellite_source,index_right,osm_id,osm_type,facility_type,name,operator,distance_to_facility_m,near_industrial_500m,near_industrial_1000m,near_industrial_2000m,near_industrial_5000m,distance_to_facility_km,industrial_facility_present,facility_type_code,day_of_year,month,year,hour,is_day,is_forest_fire_season,is_stubble_burning_season,brightness_difference,frp_brightness_ratio,log_frp,confidence_numeric,is_n20,is_suomi_npp,grid_lat,grid_lon,grid_id,grid_active_days,grid_detection_count,grid_total_frp,grid_brightness_mean,grid_brightness_std,grid_frp_mean,grid_frp_std,grid_n,brightness_zscore_local,frp_zscore_local,used_local_baseline,high_brightness_flag_local,high_frp_flag_local,persistent_location_flag,row_id,landcover_code,landcover_class,weak_label,predicted_class,predicted_class_confidence
11.18483,79.0995,302.91,0.35,0.56,2024-11-08,2048,N20,VIIRS,n,2.0NRT,279.77,0.85,N,VIIRS_N20,12,100012,node,Power Plant,Thermal Power Station #13,,25397.206377131617,0,0,0,0,25.397206377131617,1,1,313,11,2024,20,0,0,1,23.140000000000043,0.0028061140272688254,0.6151856390902334,1.0,1,0,11.18,79.09,11.18_79.09,10,20,18.59,305.3995,3.199398751081369,0.9295,0.2404267040076872,20,-0.7781149502413648,-0.33066210481119496,1,0,0,1,30,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.9452381091929986
13.16331,80.28699,309.23,0.38,0.59,2024-11-08,2048,N20,VIIRS,n,2.0NRT,285.26,0.96,N,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,151094.47500281638,0,0,0,0,151.09447500281638,1,4,313,11,2024,20,0,0,1,23.970000000000027,0.0031044853345406328,0.6729444732424258,1.0,1,0,13.16,80.28,13.16_80.28,13,23,29.58,306.30347826086955,3.394288797773065,1.286086956521739,0.5416619134280146,23,0.8621899648169318,-0.6020119717445762,1,0,0,1,31,30.0,Grassland,Other/Unclassified,Other/Unclassified,0.9489613097308113
13.08252,79.97832,310.31,0.37,0.58,2024-11-08,2048,N20,VIIRS,n,2.0NRT,286.86,0.91,N,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,118390.07774157244,0,0,0,0,118.39007774157244,1,4,313,11,2024,20,0,0,1,23.44999999999999,0.002932551319648094,0.6471032420585384,1.0,1,0,13.08,79.97,13.08_79.97,7,10,14.08,306.96,4.861099555541813,1.408,0.9192847461175697,10,0.6891444953397248,-0.5417255122563617,1,0,0,1,32,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.9535309412809414
12.96966,79.91622,315.4,0.37,0.58,2024-11-08,2048,N20,VIIRS,n,2.0NRT,277.86,1.12,N,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,105565.84336731947,0,0,0,0,105.56584336731947,1,4,313,11,2024,20,0,0,1,37.539999999999964,0.0035510462904248578,0.7514160886839212,1.0,1,0,12.96,79.91,12.96_79.91,2,5,3.6100000000000003,306.96,7.26333601040182,0.7220000000000001,0.3025227264190246,5,1.1620004895702303,1.3156036398030133,1,0,0,0,33,40.0,Cropland,Agricultural Burning,Agricultural Burning,0.9413126401995437
11.38716,78.70573,330.54,0.4,0.37,2024-11-09,756,N20,VIIRS,n,2.0NRT,279.55,2.52,D,VIIRS_N20,23,100023,node,Warehouse/Depot,Logistics Hub #24,,34375.571101395995,0,0,0,0,34.375571101396,1,4,314,11,2024,7,1,0,1,50.99000000000001,0.007623888182973316,1.2584609896100056,1.0,1,0,11.38,78.7,11.38_78.7,1,1,2.52,330.54,,2.52,,1,0.798272874455238,0.08969876706731648,0,0,0,0,34,40.0,Cropland,Agricultural Burning,Agricultural Burning,0.9508331609131188
11.39555,77.11979,341.93,0.46,0.39,2024-11-09,756,N20,VIIRS,n,2.0NRT,301.53,4.78,D,VIIRS_N20,14,100014,node,Chemical,Chemical Processing Unit #15,,60749.72066038582,0,0,0,0,60.74972066038582,1,9,314,11,2024,7,1,0,1,40.400000000000034,0.013979469482057732,1.7544036826842861,1.0,1,0,11.39,77.11,11.39_77.11,1,2,7.32,336.365,7.87009847460627,3.66,1.5839191898578666,2,1.536813057869657,1.0799083680485775,0,0,0,0,35,40.0,Cropland,Agricultural Burning,Agricultural Burning,0.8477713598156899
12.29479,78.40997,330.79,0.4,0.37,2024-11-09,756,N20,VIIRS,n,2.0NRT,293.83,2.87,D,VIIRS_N20,19,100019,node,Manufacturing,Textile Mill #20,,47332.69760352979,0,0,0,0,47.332697603529795,1,3,314,11,2024,7,1,0,1,36.960000000000036,0.008676199401432933,1.3532545070416904,1.0,1,0,12.290000000000001,78.4,12.29_78.4,1,1,2.87,330.79,,2.87,,1,0.8144831506495843,0.24304981146706933,0,0,0,0,36,30.0,Grassland,Other/Unclassified,Other/Unclassified,0.43248468750272406
12.76743,77.78644,334.85,0.42,0.38,2024-11-09,756,N20,VIIRS,n,2.0NRT,299.92,2.54,D,VIIRS_N20,6,100006,node,Power Plant,Thermal Power Station #7,,68384.36748203606,0,0,0,0,68.38436748203605,1,1,314,11,2024,7,1,0,1,34.93000000000001,0.007585486038524712,1.264126727145683,1.0,1,0,12.76,77.78,12.76_77.78,2,7,22.13,341.06142857142856,4.102866593701787,3.1614285714285715,1.1286928807464054,7,-1.5139240893095471,-0.5505736609392099,1,0,0,0,37,40.0,Cropland,Agricultural Burning,Agricultural Burning,0.9351484917297052
12.79986,77.9681,329.83,0.41,0.37,2024-11-09,756,N20,VIIRS,n,2.0NRT,302.07,2.37,D,VIIRS_N20,6,100006,node,Power Plant,Thermal Power Station #7,,70464.4356378183,0,0,0,0,70.4644356378183,1,1,314,11,2024,7,1,0,1,27.75999999999999,0.007185519813237123,1.2149127443642704,1.0,1,0,12.790000000000001,77.96000000000001,12.79_77.96,1,1,2.37,329.83,,2.37,,1,0.752235690063292,0.023976890895993894,0,0,0,0,38,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.5603928812690786
13.08321,79.9809,304.64,0.54,0.42,2024-11-09,2029,N20,VIIRS,n,2.0NRT,285.62,0.83,N,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,118659.48227337518,0,0,0,0,118.65948227337518,1,4,314,11,2024,20,0,0,1,19.019999999999982,0.0027245273109243696,0.6043159668533294,1.0,1,0,13.08,79.98,13.08_79.98,5,11,15.69,308.31363636363636,10.512393897421513,1.4263636363636363,2.15390934222995,11,-0.34945764014202785,-0.276874994072972,1,0,0,1,39,40.0,Cropland,Other/Unclassified,Other/Unclassified,0.7711960202245316
12.65022,77.90694,301.68,0.43,0.38,2024-11-09,2029,N20,VIIRS,n,2.0NRT,283.78,0.72,N,VIIRS_N20,6,100006,node,Power Plant,Thermal Power Station #7,,53770.39427396158,0,0,0,0,53.77039427396158,1,1,314,11,2024,20,0,0,1,17.900000000000034,0.0023866348448687348,0.5423242908253617,1.0,1,0,12.65,77.9,12.65_77.9,3,4,4.51,305.81,6.968428804257114,1.1275,0.8083470789209298,4,-1.0730414094201062,-0.6989637469885551,0,0,0,1,40,30.0,Grassland,Other/Unclassified,Other/Unclassified,0.7121447588209527
12.65088,77.903,299.37,0.43,0.38,2024-11-09,2029,N20,VIIRS,n,2.0NRT,283.9,0.72,N,VIIRS_N20,6,100006,node,Power Plant,Thermal Power Station #7,,53860.409800111294,0,0,0,0,53.86040980011129,1,1,314,11,2024,20,0,0,1,15.470000000000027,0.0024050506062731737,0.5423242908253617,1.0,1,0,12.65,77.9,12.65_77.9,3,4,4.51,305.81,6.968428804257114,1.1275,0.8083470789209298,4,-1.2228243614558665,-0.6989637469885551,0,0,0,1,41,50.0,Built-up,Other/Unclassified,Agricultural Burning,0.5083321610235093
