event_id,retry_pre_attempted,pre_status,attempts_pre,retry_post_attempted,post_status,attempts_post,overall_status,is_real_cdse_data,error_category,timestamp
FIRMS_TN_0453,True,CLOUD_REJECTED,1,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:47:50Z
FIRMS_TN_0455,True,CLOUD_REJECTED,1,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:47:54Z
FIRMS_TN_0457,False,MISSING_PRODUCT,0,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:47:56Z
FIRMS_TN_0458,True,REAL_CDSE_SUCCESS,1,True,REAL_CDSE_SUCCESS,1,REAL_CDSE_SUCCESS,True,,2026-09-05T17:48:00Z
FIRMS_TN_0459,True,REAL_CDSE_SUCCESS,1,True,REAL_CDSE_SUCCESS,1,REAL_CDSE_SUCCESS,True,,2026-09-05T17:48:04Z
FIRMS_TN_0460,True,CLOUD_REJECTED,1,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:48:08Z
FIRMS_TN_0461,True,CLOUD_REJECTED,1,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:48:12Z
FIRMS_TN_0464,True,CLOUD_REJECTED,1,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:48:15Z
FIRMS_TN_0465,True,CLOUD_REJECTED,1,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:48:19Z
FIRMS_TN_0466,True,CLOUD_REJECTED,1,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:48:23Z
FIRMS_TN_0467,True,CLOUD_REJECTED,1,True,REAL_CDSE_SUCCESS,1,PARTIAL_POST_ONLY,True,,2026-09-05T17:48:26Z
FIRMS_TN_0468,True,REAL_CDSE_SUCCESS,1,True,REAL_CDSE_SUCCESS,1,REAL_CDSE_SUCCESS,True,,2026-09-05T17:48:30Z
FIRMS_TN_0469,True,CLOUD_REJECTED,1,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:48:34Z
FIRMS_TN_0470,True,CLOUD_REJECTED,1,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:48:38Z
FIRMS_TN_0471,True,REAL_CDSE_SUCCESS,1,False,MISSING_PRODUCT,0,PARTIAL_PRE_ONLY,True,,2026-09-05T17:48:40Z
FIRMS_TN_0472,True,REAL_CDSE_SUCCESS,1,True,CLOUD_REJECTED,1,PARTIAL_PRE_ONLY,True,,2026-09-05T17:48:43Z
FIRMS_TN_0473,True,CLOUD_REJECTED,1,True,REAL_CDSE_SUCCESS,1,PARTIAL_POST_ONLY,True,,2026-09-05T17:48:47Z
FIRMS_TN_0474,False,MISSING_PRODUCT,0,True,REAL_CDSE_SUCCESS,1,PARTIAL_POST_ONLY,True,,2026-09-05T17:48:49Z
FIRMS_TN_0475,True,CLOUD_REJECTED,1,True,REAL_CDSE_SUCCESS,1,PARTIAL_POST_ONLY,True,,2026-09-05T17:48:52Z
FIRMS_TN_0476,False,MISSING_PRODUCT,0,True,CLOUD_REJECTED,1,CLOUD_REJECTED,True,CLOUD_REJECTED,2026-09-05T17:48:55Z
FIRMS_TN_0477,True,REAL_CDSE_SUCCESS,1,True,REAL_CDSE_SUCCESS,1,REAL_CDSE_SUCCESS,True,,2026-09-05T17:48:59Z
FIRMS_TN_0478,True,REAL_CDSE_SUCCESS,1,True,REAL_CDSE_SUCCESS,1,REAL_CDSE_SUCCESS,True,,2026-09-05T17:49:03Z
FIRMS_TN_0479,True,REAL_CDSE_SUCCESS,1,True,REAL_CDSE_SUCCESS,1,REAL_CDSE_SUCCESS,True,,2026-09-05T17:49:07Z
FIRMS_TN_0480,True,REAL_CDSE_SUCCESS,1,True,REAL_CDSE_SUCCESS,1,REAL_CDSE_SUCCESS,True,,2026-09-05T17:49:11Z
FIRMS_TN_0481,True,REAL_CDSE_SUCCESS,1,False,MISSING_PRODUCT,0,PARTIAL_PRE_ONLY,True,,2026-09-05T17:49:13Z
FIRMS_TN_0482,True,CLOUD_REJECTED,1,True,REAL_CDSE_SUCCESS,1,PARTIAL_POST_ONLY,True,,2026-09-05T17:49:17Z
