event_id,processing_status,pre_event_status,post_event_status,is_real_cdse_data,processing_timestamp,error_category
FIRMS_TN_0104,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:27:50Z,CLOUD_REJECTED
FIRMS_TN_0105,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:27:54Z,CLOUD_REJECTED
FIRMS_TN_0106,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:27:59Z,CLOUD_REJECTED
FIRMS_TN_0107,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:28:03Z,MISSING_PRODUCT
FIRMS_TN_0108,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:28:07Z,MISSING_PRODUCT
FIRMS_TN_0109,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:28:12Z,MISSING_PRODUCT
FIRMS_TN_0110,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:28:17Z,MISSING_PRODUCT
FIRMS_TN_0111,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:28:22Z,CLOUD_REJECTED
FIRMS_TN_0112,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:28:29Z,CLOUD_REJECTED
FIRMS_TN_0113,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:28:34Z,CLOUD_REJECTED
FIRMS_TN_0114,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:28:38Z,MISSING_PRODUCT
FIRMS_TN_0115,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:28:43Z,MISSING_PRODUCT
FIRMS_TN_0116,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:28:46Z,MISSING_PRODUCT
FIRMS_TN_0117,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:28:50Z,MISSING_PRODUCT
