latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,satellite_source,row_id,landcover_code,landcover_class,osm_coverage_status,distance_to_facility_m,distance_to_facility_km,nearest_facility_osm_id,nearest_facility_osm_type,nearest_facility_name,nearest_facility_type,nearest_facility_category,nearest_facility_tier,near_industrial_500m,near_industrial_1000m,near_industrial_2000m,near_industrial_5000m,near_industrial_10000m,distance_to_higher_relevance_m,distance_to_higher_relevance_km,nearest_hr_osm_id,nearest_hr_name,nearest_hr_category,near_higher_relevance_500m,near_higher_relevance_1000m,near_higher_relevance_2000m,near_higher_relevance_5000m,near_higher_relevance_10000m,distance_to_general_context_m
12.29479,78.40997,330.79,0.4,0.37,2024-11-09,756,N20,VIIRS,n,2.0NRT,293.83,2.87,D,VIIRS_N20,36,40,Cropland,FAILED_TILE,16203.19104785215,16.20319104785215,1468887802,way,,Power Plant,Power Plant,HIGHER_RELEVANCE,0,0,0,0,0,16203.19104785215,16.20319104785215,1468887802,,Power Plant,0,0,0,0,0,30492.074798511185
12.76743,77.78644,334.85,0.42,0.38,2024-11-09,756,N20,VIIRS,n,2.0NRT,299.92,2.54,D,VIIRS_N20,37,60,Bare/sparse vegetation,FAILED_TILE,59342.10148951248,59.34210148951248,1134097095,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,0,60330.52020290047,60.33052020290047,971761880,,Mining & Quarry,0,0,0,0,0,63359.703770510285
12.79986,77.9681,329.83,0.41,0.37,2024-11-09,756,N20,VIIRS,n,2.0NRT,302.07,2.37,D,VIIRS_N20,38,40,Cropland,FAILED_TILE,71318.27733142306,71.31827733142306,425335457,way,Palavadi,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,0,78265.91739729601,78.26591739729601,971761880,,Mining & Quarry,0,0,0,0,0,78773.86881905474
13.08321,79.9809,304.64,0.54,0.42,2024-11-09,2029,N20,VIIRS,n,2.0NRT,285.62,0.83,N,VIIRS_N20,39,30,Grassland,FAILED_TILE,102111.0729909121,102.1110729909121,202465563,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,0,0,0,0,0,102456.84598088564,102.45684598088565,1026841614,,Mining & Quarry,0,0,0,0,0,102111.0729909121
12.65022,77.90694,301.68,0.43,0.38,2024-11-09,2029,N20,VIIRS,n,2.0NRT,283.78,0.72,N,VIIRS_N20,40,40,Cropland,FAILED_TILE,56448.95807025455,56.44895807025455,425335457,way,Palavadi,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,0,72869.80345159635,72.86980345159635,1536206840,HPCL Dharmapuri Terminal,"Oil, Gas & Chemical",0,0,0,0,0,64748.94879667167
12.65088,77.903,299.37,0.43,0.38,2024-11-09,2029,N20,VIIRS,n,2.0NRT,283.9,0.72,N,VIIRS_N20,41,20,Shrubland,FAILED_TILE,56645.04696887466,56.64504696887466,425335457,way,Palavadi,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,0,73073.18818911149,73.07318818911149,1536206840,HPCL Dharmapuri Terminal,"Oil, Gas & Chemical",0,0,0,0,0,64974.52421169199
12.85108,79.90353,311.16,0.54,0.42,2024-11-09,2029,N20,VIIRS,n,2.0NRT,282.75,1.68,N,VIIRS_N20,42,60,Bare/sparse vegetation,FAILED_TILE,75428.18693713525,75.42818693713525,1026841614,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,0,0,0,0,75428.18693713525,75.42818693713525,1026841614,,Mining & Quarry,0,0,0,0,0,76378.84270369743
11.81658,77.91605,300.83,0.44,0.39,2024-11-09,2029,N20,VIIRS,n,2.0NRT,275.93,1.22,N,VIIRS_N20,43,50,Built-up,COVERED,330.234601173254,0.33023460117325404,876239837,way,JSW Steel Plant,Manufacturing,Steel / Metallurgy,HIGHER_RELEVANCE,1,1,1,1,1,330.234601173254,0.33023460117325404,876239837,JSW Steel Plant,Steel / Metallurgy,1,1,1,1,1,1654.3277787827258
11.81173,77.92348,307.91,0.44,0.39,2024-11-09,2029,N20,VIIRS,n,2.0NRT,276.34,1.44,N,VIIRS_N20,44,50,Built-up,COVERED,565.6842580703791,0.5656842580703791,340479189,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,1,1,1,1,651.134170084112,0.651134170084112,876239837,JSW Steel Plant,Steel / Metallurgy,0,1,1,1,1,2385.847445397178
11.20356,77.56443,297.61,0.43,0.38,2024-11-09,2029,N20,VIIRS,n,2.0NRT,269.71,0.59,N,VIIRS_N20,45,30,Grassland,COVERED,547.7675827585176,0.5477675827585177,823591866,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,1,1,1,1,547.7675827585176,0.5477675827585177,823591866,,Mining & Quarry,0,1,1,1,1,1633.5729059317835
